,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%
363,1.4,.329,4.1,0.1,.167,0.3,0.9,,,1.4,.318,4.4,0.9,.911,1.0,58,,ABA,9.0,Bill Bradley,,0.7,3.8,,0.9,0.8,.324
364,5.3,.448,11.8,,,,3.4,0.2,2.1,5.3,.448,11.8,1.8,.840,2.2,742,,NBA,30.7,Bill Bradley,0.6,3.2,12.4,0.7,,3.2,.448
365,1.2,.422,2.7,0.0,.000,0.0,0.5,0.3,0.7,1.2,.416,2.8,0.8,.585,1.4,110,6,NBA,8.3,Charles Bradley,0.4,1.4,3.2,0.4,0.8,1.1,.416
366,1.9,.460,4.1,0.2,.293,0.6,1.9,0.3,1.3,2.0,.440,4.6,1.0,.730,1.3,600,62,NBA,17.0,Dudley Bradley,0.5,2.0,5.2,1.6,1.1,1.8,.458
367,2.9,.433,6.8,0.0,.000,0.1,1.3,0.6,3.6,2.9,.429,6.9,1.1,.727,1.5,98,,ABA,19.5,Jim Bradley,1.8,2.5,7.0,0.7,1.4,5.4,.429
368,0.8,.269,2.9,,,,0.8,,,0.8,.269,2.9,0.3,.395,0.8,46,,NBA,,Joe Bradley,,1.1,1.9,,,,.269
369,1.2,.488,2.6,0.0,.143,0.1,0.5,0.3,2.1,1.3,.477,2.6,0.3,.511,0.5,173,13,NBA,11.7,Michael Bradley,1.3,1.2,2.8,0.1,0.7,3.4,.479
370,3.3,.459,7.1,0.0,.103,0.0,0.7,2.5,4.2,3.3,.457,7.1,1.6,.716,2.2,832,484,NBA,23.5,Shawn Bradley,2.1,3.1,8.1,0.6,1.3,6.3,.457
371,0.7,.431,1.6,0.0,,0.0,0.2,0.1,1.2,0.7,.431,1.6,0.3,.692,0.4,36,0,NBA,7.0,Mark Bradtke,0.7,0.9,1.6,0.1,0.3,1.9,.431
372,1.0,.450,2.3,0.0,,0.0,0.2,0.2,0.8,1.0,.450,2.3,0.4,.561,0.8,53,0,NBA,7.0,Marques Bragg,0.7,1.3,2.5,0.3,0.5,1.5,.450
373,0.9,.475,1.8,0.0,,0.0,0.3,0.1,1.2,0.9,.475,1.8,0.4,.667,0.5,22,0,NBA,8.1,Torraye Braggs,1.1,1.5,2.1,0.2,0.7,2.3,.475
374,0.5,.190,2.6,0.0,,0.0,0.0,0.0,1.3,0.5,.190,2.6,0.0,,0.0,8,0,NBA,7.6,A.J. Bramlett,1.5,1.6,1.0,0.1,0.4,2.8,.190
375,2.5,.468,5.3,0.1,.231,0.3,0.7,0.1,1.1,2.5,.455,5.6,1.3,.744,1.7,130,7,NBA,11.0,Adrian Branch,0.9,1.5,6.4,0.6,1.0,1.9,.461
376,6.2,.501,12.4,0.0,.095,0.0,2.1,1.7,5.4,6.2,.500,12.5,3.4,.736,4.7,1058,868,NBA,33.0,Elton Brand,3.1,2.9,15.9,0.9,1.9,8.5,.501
377,4.9,.462,10.5,0.5,.355,1.5,6.1,0.3,2.4,5.4,.448,12.0,2.5,.873,2.8,724,480,NBA,29.8,Terrell Brandon,0.6,1.8,13.8,1.6,2.0,3.0,.471
378,2.6,.344,7.6,,,,2.1,,,2.6,.344,7.6,2.0,.652,3.1,338,,NBA,23.6,Bob Brannum,,3.9,7.3,,,7.0,.344
379,2.1,.423,5.0,0.0,.000,0.0,0.7,0.4,1.7,2.1,.422,5.0,1.2,.725,1.7,72,5,NBA,11.9,Brad Branson,1.2,1.4,5.4,0.4,0.8,2.9,.422
380,4.5,.429,10.5,0.0,.222,0.1,0.8,,,4.5,.427,10.6,4.0,.702,5.7,83,,TOT,23.0,Jesse Branson,,3.0,13.1,,1.5,6.6,.428
