,Unnamed: 0_x,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF_x,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,Position,C,PF_y,PG,SF,SG,nan
3467,3331,0.5,0.342,1.6,0.0,,0.0,0.3,0.3,1.6,0.5,0.342,1.6,0.1,0.286,0.3,46,4.0,NBA,8.2,Jared Reiner,0.7,1.7,1.2,0.2,0.5,2.4,0.342,0.0,5.2,2.6,-6.4,1.0,23.2,0.5,0.192,-7.4,10.4,-0.7,3.9,1.1,22.5,16.8,0.341,12.2,-0.4,-0.2,-0.022,3273.0,C,1.0,0.0,0.0,0.0,0.0,0.0
3468,3332,3.6,0.321,11.3,,,,2.0,,,3.6,0.321,11.3,3.1,0.772,4.1,171,,TOT,,Chick Reiser,,3.5,10.4,,,,0.321,,,,,,,4.3,0.361,,,8.9,,,,,0.397,,,13.2,,3274.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
3469,3333,1.3,0.625,2.0,0.0,,0.0,0.3,0.8,1.3,1.3,0.625,2.0,1.5,0.75,2.0,4,0.0,NBA,10.5,Richard Rellford,0.5,0.8,4.0,0.0,1.0,1.8,0.625,0.0,2.9,3.9,-5.4,-1.6,13.0,0.0,1.0,-3.8,5.1,0.0,11.6,0.0,25.8,9.0,0.694,14.6,0.0,0.0,0.048,3275.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
3470,3334,0.7,0.338,2.0,0.3,0.31,0.8,1.5,0.1,1.0,0.9,0.33,2.8,0.9,0.674,1.3,36,1.0,NBA,11.3,Terrence Rencher,0.3,1.0,2.9,0.4,1.2,1.2,0.375,0.29,20.4,0.4,-5.5,0.0,9.8,0.5,0.46,-5.5,2.7,-0.7,6.5,2.1,26.3,6.3,0.441,18.3,-0.4,-0.2,-0.021,3276.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
3471,3335,0.7,0.222,3.0,,,,0.2,,,0.7,0.222,3.0,0.5,0.333,1.5,6,,NBA,9.0,John Rennicke,,1.2,1.8,,,1.5,0.222,,,,,,,0.0,0.5,,,-0.3,-1.3,,,,0.25,,,-0.2,-0.218,3277.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
3472,3336,0.0,0.0,2.3,,,,0.0,,,0.0,0.0,2.3,0.0,,0.0,3,,BAA,,Bob Rensberger,,1.3,0.0,,,,0.0,,,,,,,0.0,0.0,,,-0.2,,,,,0.0,,,-0.1,,3278.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
3473,3337,0.5,0.314,1.5,0.1,0.5,0.2,0.2,0.1,0.5,0.6,0.339,1.7,0.2,0.889,0.3,35,0.0,NBA,4.1,Efthimi Rentzias,0.3,0.6,1.5,0.2,0.1,0.7,0.373,0.136,8.0,1.1,-4.7,-1.6,13.3,0.2,0.153,-3.0,8.0,0.0,10.6,2.2,6.0,10.6,0.413,20.9,-0.1,0.2,0.058,3279.0,C,1.0,0.0,0.0,0.0,0.0,0.0
3474,3338,1.3,0.459,2.8,0.6,0.34,1.7,1.0,0.0,0.8,1.8,0.414,4.4,0.7,0.816,0.9,172,5.0,NBA,13.7,Shawn Respert,0.5,1.1,4.9,0.5,0.7,1.3,0.478,0.375,12.2,0.2,-3.6,-2.7,7.4,0.7,0.2,-0.9,3.9,1.4,11.6,2.0,13.1,5.6,0.515,18.3,-0.9,2.1,0.043,3280.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3475,3339,2.8,0.489,5.6,0.0,0.205,0.2,1.4,0.2,2.6,2.8,0.486,5.7,0.6,0.717,0.8,550,0.0,NBA,18.4,Kevin Restani,1.4,1.8,6.2,0.4,1.0,4.0,0.487,0.012,9.6,0.6,-1.9,-0.5,15.0,6.7,0.149,-1.5,8.1,8.1,11.6,1.0,14.0,11.6,0.507,16.3,0.2,14.8,0.07,3281.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
3476,3340,0.8,0.421,1.9,,,,1.2,,,0.8,0.421,1.9,0.5,0.714,0.7,10,,NBA,4.4,George Reynolds,,1.0,2.1,,,1.4,0.421,,38.1,,,,,0.0,0.368,,,0.0,18.8,,,,0.476,,,0.1,0.055,3282.0,nan,0.0,0.0,0.0,0.0,0.0,1.0
3477,3341,3.1,0.425,7.4,0.1,0.226,0.3,2.0,0.6,1.9,3.2,0.418,7.7,2.6,0.749,3.5,443,118.0,NBA,18.9,Jerry Reynolds,1.1,1.5,9.1,1.1,1.6,3.0,0.422,0.036,15.7,1.8,-0.3,0.8,11.4,9.1,0.459,-1.2,6.0,1.5,15.0,2.8,14.9,8.6,0.494,23.3,3.5,10.5,0.06,3283.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
3478,3342,2.4,0.389,6.3,0.0,0.0,0.0,1.4,,6.8,2.4,0.388,6.3,1.4,0.548,2.6,125,,ABA,21.3,Kendall Rhine,4.2,3.5,6.3,,1.2,8.3,0.388,0.003,9.4,,,,,3.5,0.408,,,-1.8,11.8,,14.3,16.6,0.423,14.8,,1.8,0.032,3284.0,C,1.0,0.0,0.0,0.0,0.0,0.0
3479,3343,1.7,0.319,5.3,,,,1.4,,,1.7,0.319,5.3,1.8,0.704,2.6,65,,NBA,17.9,Gene Rhodes,,1.2,5.2,,,1.5,0.319,,,,,,,1.0,0.494,,,-0.1,11.2,,,,0.405,,,0.9,0.037,3285.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3480,3344,1.7,0.354,4.8,0.0,0.2,0.2,1.7,0.2,0.7,1.7,0.347,5.0,1.8,0.62,2.8,72,14.0,NBA,17.1,Rodrick Rhodes,0.5,2.0,5.3,1.0,1.7,1.2,0.351,0.042,15.5,0.7,-6.6,-1.1,4.7,0.6,0.569,-5.5,3.7,-2.2,6.7,3.0,20.9,4.2,0.422,21.0,-1.4,-1.6,-0.064,3286.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
3481,3345,5.2,0.476,11.0,1.6,0.4,3.9,2.1,0.3,3.4,6.8,0.456,14.9,3.2,0.846,3.8,1000,876.0,NBA,35.0,Glen Rice,0.9,2.4,18.3,1.0,1.7,4.4,0.508,0.262,10.2,0.5,0.5,-1.4,11.4,25.1,0.256,1.9,3.1,63.6,16.2,1.4,9.5,7.2,0.554,23.1,22.1,88.7,0.122,3287.0,SF,0.0,0.0,0.0,1.0,0.0,0.0
3482,3346,0.8,0.483,1.7,0.0,,0.0,0.4,0.2,1.8,0.8,0.483,1.7,0.3,0.605,0.5,70,3.0,NBA,11.1,Chris Richard,1.0,1.9,1.9,0.3,0.5,2.8,0.483,0.0,4.5,1.6,-3.5,0.6,18.4,0.7,0.328,-4.0,10.2,0.1,7.5,1.2,22.3,14.2,0.509,9.9,-0.3,0.7,0.045,3288.0,C,1.0,0.0,0.0,0.0,0.0,0.0
3483,3347,3.0,0.466,6.3,0.0,0.244,0.1,2.5,0.2,1.4,3.0,0.463,6.4,1.0,0.77,1.3,586,108.0,NBA,20.2,Clint Richardson,0.9,1.7,7.0,0.6,1.3,2.4,0.465,0.012,16.9,0.5,-1.8,-0.4,7.6,11.4,0.203,-1.4,5.1,5.2,11.1,1.4,15.5,6.4,0.498,16.7,0.6,16.6,0.067,3289.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3484,3348,4.6,0.474,9.7,1.9,0.37,5.1,2.7,0.4,3.7,6.5,0.438,14.8,2.2,0.707,3.2,857,842.0,NBA,34.1,Jason Richardson,1.2,2.3,17.1,1.2,1.8,5.0,0.502,0.343,13.7,0.9,1.3,-0.7,12.4,22.3,0.214,2.0,3.9,36.8,16.3,1.8,9.8,8.1,0.528,23.4,24.4,59.1,0.097,3290.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3485,3349,0.4,0.3,1.3,0.3,0.385,0.9,0.1,0.0,0.5,0.7,0.333,2.2,0.1,0.625,0.2,45,1.0,NBA,5.4,Jeremy Richardson,0.1,0.5,1.9,0.1,0.2,0.6,0.409,0.394,3.2,0.0,-10.5,-4.3,10.1,0.2,0.081,-6.3,1.4,-0.5,4.5,0.9,8.9,5.8,0.419,21.1,-0.5,-0.3,-0.054,3291.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
