,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%
994,[u'6.9'],[u'.498'],[u'13.9'],[u'0.8'],[u'.318'],[u'2.4'],[u'5.6'],[u'0.7'],[u'3.7'],[u'7.7'],[u'.472'],[u'16.3'],[u'4.3'],[u'.788'],[u'5.5'],[u'1086'],[u'950'],[u'NBA'],[u'34.6'],Clyde Drexler,[u'2.4'],[u'3.0'],[u'20.4'],[u'2.0'],[u'2.7'],[u'6.1'],[u'.495']
995,[u'0.9'],[u'.382'],[u'2.3'],[u'0.0'],[u'.000'],[u'0.6'],[u'0.4'],[u'0.1'],[u'0.7'],[u'0.9'],[u'.302'],[u'2.9'],[u'0.7'],[u'.714'],[u'0.9'],[u'15'],[u'0'],[u'NBA'],[u'8.8'],Nate Driggers,[u'0.8'],[u'0.7'],[u'2.4'],[u'0.2'],[u'0.4'],[u'1.5'],[u'.302']
996,[u'1.6'],[u'.419'],[u'3.9'],[u'0.0'],[],[u'0.0'],[u'0.8'],[u'0.2'],[u'1.8'],[u'1.6'],[u'.419'],[u'3.9'],[u'0.8'],[u'.694'],[u'1.2'],[u'274'],[],[u'TOT'],[u'13.3'],Terry Driscoll,[u'1.1'],[u'2.1'],[u'4.1'],[u'0.3'],[u'0.9'],[u'4.1'],[u'.419']
997,[u'3.0'],[u'.433'],[u'6.9'],[u'0.2'],[u'.340'],[u'0.7'],[u'0.8'],[u'0.4'],[u'2.4'],[u'3.2'],[u'.425'],[u'7.6'],[u'1.1'],[u'.799'],[u'1.4'],[u'278'],[u'96'],[u'NBA'],[u'19.9'],Predrag Drobnjak,[u'1.1'],[u'1.8'],[u'7.9'],[u'0.5'],[u'0.9'],[u'3.5'],[u'.440']
998,[u'1.2'],[u'.500'],[u'2.3'],[u'0.0'],[],[u'0.0'],[u'2.3'],[u'0.3'],[u'2.3'],[u'1.2'],[u'.500'],[u'2.3'],[u'0.2'],[u'.250'],[u'0.7'],[u'6'],[],[u'NBA'],[u'11.2'],Ralph Drollinger,[u'0.8'],[u'2.7'],[u'2.5'],[u'0.2'],[u'2.2'],[u'3.2'],[u'.500']
999,[u'1.6'],[u'.342'],[u'4.6'],[],[],[],[u'1.4'],[],[],[u'1.6'],[u'.342'],[u'4.6'],[u'0.7'],[u'.889'],[u'0.8'],[u'34'],[],[u'NBA'],[u'12.5'],Dick Duckett,[],[u'1.8'],[u'3.9'],[],[],[u'1.6'],[u'.342']
1000,[u'4.7'],[u'.469'],[u'10.0'],[u'0.0'],[u'.208'],[u'0.0'],[u'0.9'],[u'0.5'],[u'3.8'],[u'4.7'],[u'.468'],[u'10.0'],[u'2.4'],[u'.736'],[u'3.3'],[u'684'],[u'527'],[u'NBA'],[u'25.5'],Kevin Duckworth,[u'2.0'],[u'3.2'],[u'11.8'],[u'0.5'],[u'1.8'],[u'5.8'],[u'.468']
1001,[u'1.9'],[u'.497'],[u'3.8'],[],[],[],[u'3.4'],[u'0.0'],[u'1.9'],[u'1.9'],[u'.497'],[u'3.8'],[u'1.5'],[u'.672'],[u'2.2'],[u'361'],[],[u'NBA'],[u'17.6'],Charles Dudley,[u'1.2'],[u'2.0'],[u'5.3'],[u'0.8'],[u'1.9'],[u'3.0'],[u'.497']
1002,[u'1.6'],[u'.412'],[u'3.8'],[u'0.0'],[u'.000'],[u'0.0'],[u'0.4'],[u'1.2'],[u'3.6'],[u'1.6'],[u'.412'],[u'3.8'],[u'0.8'],[u'.458'],[u'1.7'],[u'886'],[u'331'],[u'NBA'],[u'18.4'],Chris Dudley,[u'2.5'],[u'2.6'],[u'3.9'],[u'0.4'],[u'0.8'],[u'6.2'],[u'.412']
1003,[u'2.8'],[u'.473'],[u'6.0'],[u'0.2'],[u'.329'],[u'0.5'],[u'1.2'],[u'0.1'],[u'0.8'],[u'3.0'],[u'.462'],[u'6.5'],[u'0.6'],[u'.672'],[u'0.8'],[u'143'],[u'0'],[u'NBA'],[u'13.8'],Terry Duerod,[u'0.4'],[u'1.0'],[u'6.7'],[u'0.4'],[u'0.9'],[u'1.1'],[u'.475']
1004,[u'0.4'],[u'.219'],[u'1.9'],[],[],[],[u'0.0'],[],[],[u'0.4'],[u'.219'],[u'1.9'],[u'0.3'],[u'.714'],[u'0.4'],[u'17'],[],[u'BAA'],[],Bob Duffy,[],[u'1.0'],[u'1.1'],[],[],[],[u'.219']
1005,[u'1.7'],[u'.396'],[u'4.4'],[],[],[],[u'1.8'],[],[],[u'1.7'],[u'.396'],[u'4.4'],[u'0.8'],[u'.649'],[u'1.2'],[u'94'],[],[u'NBA'],[u'11.9'],Bob Duffy,[],[u'1.0'],[u'4.3'],[],[],[u'1.1'],[u'.396']
1006,[u'1.2'],[u'.426'],[u'2.7'],[u'1.1'],[u'.363'],[u'3.0'],[u'4.4'],[u'0.1'],[u'1.9'],[u'2.2'],[u'.393'],[u'5.7'],[u'1.0'],[u'.784'],[u'1.2'],[u'606'],[u'319'],[u'NBA'],[u'25.6'],Chris Duhon,[u'0.3'],[u'1.6'],[u'6.5'],[u'0.8'],[u'1.5'],[u'2.3'],[u'.488']
1007,[u'3.5'],[u'.369'],[u'9.4'],[],[],[],[u'1.1'],[],[],[u'3.5'],[u'.369'],[u'9.4'],[u'3.5'],[u'.700'],[u'5.0'],[u'553'],[],[u'NBA'],[u'26.5'],Walter Dukes,[],[u'4.1'],[u'10.4'],[],[],[u'11.3'],[u'.369']
1008,[u'4.9'],[u'.480'],[u'10.2'],[u'1.0'],[u'.382'],[u'2.5'],[u'4.5'],[u'0.1'],[u'1.5'],[u'5.9'],[u'.460'],[u'12.8'],[u'3.4'],[u'.843'],[u'4.0'],[u'1018'],[u'944'],[u'NBA'],[u'34.5'],Joe Dumars,[u'0.7'],[u'1.8'],[u'16.1'],[u'0.9'],[u'2.0'],[u'2.2'],[u'.498']
1009,[u'1.0'],[u'.200'],[u'5.0'],[u'0.0'],[],[u'0.0'],[u'0.0'],[],[u'1.0'],[u'1.0'],[u'.200'],[u'5.0'],[u'0.0'],[],[u'0.0'],[u'1'],[],[u'ABA'],[u'5.0'],Rich Dumas,[u'0.0'],[u'1.0'],[u'2.0'],[],[u'1.0'],[u'1.0'],[u'.200']
1010,[u'4.2'],[u'.514'],[u'8.2'],[u'0.0'],[u'.231'],[u'0.1'],[u'1.1'],[u'0.5'],[u'1.9'],[u'4.3'],[u'.509'],[u'8.4'],[u'2.0'],[u'.694'],[u'3.0'],[u'102'],[u'47'],[u'NBA'],[u'21.8'],Richard Dumas,[u'1.6'],[u'2.2'],[u'10.6'],[u'1.3'],[u'1.5'],[u'3.4'],[u'.511']
1011,[u'2.0'],[u'.438'],[u'4.5'],[u'0.7'],[u'.327'],[u'2.0'],[u'1.2'],[u'0.1'],[u'0.7'],[u'2.6'],[u'.404'],[u'6.5'],[u'1.4'],[u'.608'],[u'2.3'],[u'156'],[u'13'],[u'NBA'],[u'14.2'],Tony Dumas,[u'0.6'],[u'1.6'],[u'7.3'],[u'0.4'],[u'0.9'],[u'1.3'],[u'.454']
1012,[u'2.2'],[u'.408'],[u'5.3'],[],[],[],[u'0.7'],[],[],[u'2.2'],[u'.408'],[u'5.3'],[u'1.2'],[u'.596'],[u'1.9'],[u'136'],[],[u'TOT'],[],Andy Duncan,[],[u'2.7'],[u'5.5'],[],[],[u'2.1'],[u'.408']
1013,[u'7.4'],[u'.509'],[u'14.5'],[u'0.0'],[u'.179'],[u'0.1'],[u'3.0'],[u'2.2'],[u'8.1'],[u'7.4'],[u'.506'],[u'14.6'],[u'4.2'],[u'.696'],[u'6.1'],[u'1392'],[u'1389'],[u'NBA'],[u'34.0'],Tim Duncan,[u'2.8'],[u'2.4'],[u'19.0'],[u'0.7'],[u'2.4'],[u'10.8'],[u'.507']
1014,[u'2.7'],[u'.489'],[u'5.5'],[u'0.4'],[u'.339'],[u'1.3'],[u'3.9'],[u'0.1'],[u'1.2'],[u'3.0'],[u'.467'],[u'6.4'],[u'1.7'],[u'.810'],[u'2.1'],[u'438'],[u'55'],[u'NBA'],[u'19.2'],Mike Dunleavy,[u'0.3'],[u'2.3'],[u'8.0'],[u'0.8'],[u'1.8'],[u'1.6'],[u'.492']
1015,[u'1.0'],[u'.311'],[u'3.2'],[],[],[],[u'1.0'],[],[],[u'1.0'],[u'.311'],[u'3.2'],[u'0.5'],[u'.824'],[u'0.6'],[u'28'],[],[u'NBA'],[u'7.4'],Pat Dunn,[],[u'0.7'],[u'2.5'],[],[],[u'1.1'],[u'.311']
1016,[u'2.0'],[u'.459'],[u'4.5'],[u'0.0'],[u'.050'],[u'0.0'],[u'1.6'],[u'0.3'],[u'2.7'],[u'2.0'],[u'.457'],[u'4.5'],[u'1.0'],[u'.725'],[u'1.4'],[u'993'],[u'457'],[u'NBA'],[u'23.2'],T.R. Dunn,[u'1.7'],[u'2.1'],[u'5.1'],[u'1.3'],[u'0.8'],[u'4.4'],[u'.457']
1017,[u'1.4'],[u'.429'],[u'3.2'],[u'0.0'],[u'.385'],[u'0.1'],[u'0.6'],[u'0.2'],[u'1.4'],[u'1.4'],[u'.427'],[u'3.2'],[u'0.7'],[u'.559'],[u'1.3'],[u'157'],[u'8'],[u'NBA'],[u'11.2'],Ronald Dupree,[u'0.7'],[u'1.6'],[u'3.5'],[u'0.4'],[u'0.6'],[u'2.2'],[u'.432']
1018,[u'1.6'],[u'.446'],[u'3.5'],[u'0.0'],[u'.120'],[u'0.1'],[u'2.0'],[u'0.1'],[u'0.8'],[u'1.6'],[u'.435'],[u'3.6'],[u'0.4'],[u'.750'],[u'0.5'],[u'201'],[u'33'],[u'NBA'],[u'14.7'],John Duren,[u'0.3'],[u'2.0'],[u'3.5'],[u'0.5'],[u'1.0'],[u'1.1'],[u'.437']
1019,[u'0.0'],[],[u'0.0'],[u'0.0'],[],[u'0.0'],[u'0.0'],[],[u'0.0'],[u'0.0'],[],[u'0.0'],[u'0.0'],[],[u'0.0'],[u'1'],[],[u'ABA'],[u'1.0'],Jarrett Durham,[u'0.0'],[u'0.0'],[u'0.0'],[],[u'1.0'],[u'0.0'],[]
1020,[u'1.8'],[u'.500'],[u'3.7'],[u'0.1'],[u'.192'],[u'0.4'],[u'0.9'],[u'0.5'],[u'1.0'],[u'1.9'],[u'.469'],[u'4.1'],[u'1.1'],[u'.667'],[u'1.7'],[u'64'],[u'3'],[u'NBA'],[u'14.5'],Pat Durham,[u'0.7'],[u'1.9'],[u'5.0'],[u'0.6'],[u'0.8'],[u'1.7'],[u'.479']
1021,[u'1.9'],[u'.418'],[u'4.6'],[u'0.0'],[u'.000'],[u'0.0'],[u'1.3'],[u'0.2'],[u'1.3'],[u'1.9'],[u'.414'],[u'4.7'],[u'1.2'],[u'.689'],[u'1.7'],[u'63'],[u'8'],[u'NBA'],[u'12.8'],Devin Durrant,[u'0.8'],[u'1.8'],[u'5.0'],[u'0.3'],[u'1.3'],[u'2.1'],[u'.414']
