,Unnamed: 0_x,2P,2P%,2PA,3P_x,3P%_x,3PA_x,AST_x,BLK_x,DRB,FG_x,FG%_x,FGA_x,FT_x,FT%_x,FTA_x,G_x,GS,Lg,MP_x,Name,ORB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,3P_y,3P%_y,3PA_y,AST_y,AST_per_g,BLK_y,FG_y,FG%_y,FGA_y,FT_y,FT%_y,FTA_y,G_y,MP_y,MP_per_g,ORB_y,PF_y,PTS_y,PTS_per_g,STL_y,TOV_y,TRB_y,TRB_per_g
626,622,0.5,0.667,0.8,0.0,,0.0,0.0,0.5,1.0,0.5,0.667,0.8,0.3,1.0,0.3,4,0.0,NBA,5.3,Jimmy Carruth,0.0,1.0,1.3,0.0,0.3,1.0,0.667,0.0,0.0,7.1,-6.9,-0.4,23.2,0.0,0.333,-6.5,0.0,0.0,9.7,0.0,22.5,11.7,0.727,9.8,0.0,0.0,0.09,376.0,,,,40.0,0.4,,162.0,0.455,356.0,89.0,0.452,197.0,103.0,1669.0,16.2,,,413.0,4.0,,,352.0,3.4
627,623,1.8,0.432,4.1,0.2,0.25,0.7,3.8,0.2,1.7,2.0,0.404,4.9,0.7,0.706,1.0,623,181.0,NBA,19.6,Anthony Carter,0.4,1.8,4.8,1.0,1.5,2.1,0.423,0.152,29.9,0.7,-2.7,0.2,9.8,15.0,0.201,-2.9,2.4,-4.6,10.8,2.6,22.4,6.2,0.454,16.1,-2.2,10.4,0.041,377.0,66.0,0.33,200.0,403.0,6.9,25.0,402.0,0.474,848.0,200.0,0.714,280.0,58.0,1005.0,34.7,,86.0,1070.0,18.4,142.0,136.0,259.0,4.5
628,624,3.4,0.486,7.0,0.1,0.307,0.5,1.9,0.1,0.9,3.6,0.475,7.5,1.4,0.788,1.8,361,93.0,NBA,18.9,Butch Carter,0.6,2.2,8.7,0.9,1.3,1.5,0.485,0.065,14.3,0.4,-2.5,-1.6,5.1,4.8,0.235,-0.9,3.7,3.7,12.7,2.2,13.8,4.4,0.523,20.8,-0.8,8.5,0.06,378.0,,,,,,,296.0,0.511,579.0,163.0,0.728,224.0,114.0,2785.0,24.4,,,755.0,6.6,,,290.0,2.5
629,625,6.4,0.425,15.1,,,,3.5,0.2,2.7,6.4,0.425,15.1,2.4,0.693,3.4,611,,NBA,30.0,Fred Carter,1.1,2.8,15.2,1.2,,3.9,0.425,,17.6,0.3,-1.0,-1.4,7.9,12.9,0.225,0.4,3.1,1.9,14.0,1.6,,6.0,0.458,,2.6,14.8,0.039,,,,,,,,,,,,,,,,,,,,,,,,
630,626,6.7,0.449,15.0,0.1,0.301,0.3,2.0,0.3,4.3,6.8,0.445,15.3,4.4,0.813,5.4,479,,TOT,33.9,George Carter,2.5,3.4,18.1,1.0,2.5,6.8,0.449,0.022,8.5,0.4,-1.3,-1.4,11.6,6.7,0.349,0.1,6.9,17.6,15.1,1.3,12.5,9.6,0.512,22.9,1.0,24.3,0.072,,,,,,,,,,,,,,,,,,,,,,,,
631,627,2.2,0.454,4.8,0.1,0.227,0.3,1.1,0.1,0.8,2.3,0.44,5.1,0.7,0.774,0.9,66,5.0,NBA,11.4,Howard Carter,0.6,1.3,5.3,0.3,0.8,1.3,0.447,0.065,12.7,0.3,-5.6,-3.3,7.2,0.1,0.183,-2.3,5.3,-0.2,10.3,1.2,12.0,6.2,0.479,21.0,-0.7,0.0,-0.002,379.0,,,,,,17.0,806.0,0.495,1629.0,330.0,0.789,418.0,128.0,4364.0,34.1,,337.0,1942.0,15.2,124.0,,568.0,4.4
632,628,1.0,0.307,3.1,,,,1.0,,,1.0,0.307,3.1,1.5,0.679,2.2,24,,NBA,,Jake Carter,,2.5,3.4,,,,0.307,,,,,,,0.4,0.707,,,0.3,,,,,0.417,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
633,629,0.7,0.292,2.4,0.4,0.364,1.1,0.4,0.0,0.9,1.1,0.314,3.5,1.6,0.8,2.0,10,0.0,NBA,11.0,Maurice Carter,0.2,1.0,4.2,0.0,0.9,1.1,0.371,0.314,5.8,0.0,-10.0,-4.6,9.5,0.0,0.571,-5.4,2.0,-0.1,5.8,0.0,17.0,5.7,0.479,21.7,-0.2,0.0,-0.014,380.0,157.0,0.354,443.0,141.0,1.3,13.0,455.0,0.415,1096.0,232.0,0.688,337.0,108.0,2053.0,25.3,,,1299.0,12.0,50.0,,381.0,3.5
634,630,1.3,0.39,3.4,0.0,0.0,0.0,1.5,0.1,0.7,1.3,0.388,3.4,0.9,0.772,1.1,135,1.0,NBA,10.8,Reggie Carter,0.5,1.4,3.5,0.4,0.9,1.2,0.388,0.007,18.5,0.3,-4.6,-1.2,8.0,1.1,0.325,-3.4,5.0,-0.6,9.1,1.9,18.1,6.4,0.449,18.0,-0.9,0.4,0.014,381.0,,,,,,,561.0,0.472,1188.0,378.0,0.816,463.0,100.0,997.0,36.9,,,1500.0,15.0,,,453.0,4.5
635,631,1.2,0.429,2.7,0.0,,0.0,0.6,0.2,0.6,1.2,0.429,2.7,0.6,0.623,1.0,59,,NBA,7.6,Ron Carter,0.4,1.2,3.0,0.3,0.8,1.1,0.429,0.0,9.5,1.1,-5.9,-1.3,8.8,0.4,0.379,-4.7,6.5,-0.6,8.0,1.9,21.0,7.6,0.468,21.1,-0.4,-0.2,-0.017,382.0,,,,,,,870.0,0.518,1679.0,488.0,0.727,671.0,116.0,2109.0,36.4,,,2228.0,19.2,,,809.0,7.0
636,632,4.8,0.525,9.2,0.0,0.0,0.0,1.4,0.7,4.5,4.8,0.525,9.2,3.5,0.771,4.6,963,676.0,NBA,28.5,Bill Cartwright,1.9,2.9,13.2,0.5,2.0,6.3,0.525,0.0,7.1,1.5,-0.5,-0.2,18.1,29.4,0.498,-0.3,7.6,43.5,15.2,0.8,14.9,12.8,0.588,19.2,10.7,72.8,0.127,383.0,,,,154.0,1.4,,828.0,0.589,1406.0,460.0,0.734,627.0,111.0,3546.0,31.9,,,2116.0,19.1,,,1137.0,10.2
637,633,1.2,0.382,3.2,,,,0.4,,,1.2,0.382,3.2,0.3,0.727,0.4,28,,NBA,6.9,Jay Carty,,1.1,2.7,,,2.1,0.382,,7.9,,,,,0.2,0.124,,,-0.3,10.1,,,,0.405,,,-0.1,-0.017,,,,,,,,,,,,,,,,,,,,,,,,
638,634,1.5,0.391,3.8,,,,0.2,0.2,1.3,1.5,0.391,3.8,0.5,0.5,1.0,6,,NBA,8.2,Cornelius Cash,1.3,1.3,3.5,0.3,,2.7,0.391,,2.6,1.1,-7.6,-3.6,16.9,0.0,0.261,-4.0,16.9,-0.1,12.0,1.8,,16.9,0.41,,-0.1,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,
639,635,0.6,0.222,2.6,0.0,,0.0,0.0,0.4,1.1,0.6,0.222,2.6,1.7,0.706,2.4,7,,ABA,7.4,Sam Cash,1.6,1.6,2.9,0.7,2.3,2.7,0.222,0.0,0.0,3.1,,,15.3,0.0,0.944,,20.0,-0.1,3.2,4.4,38.6,17.7,0.392,30.9,,-0.1,-0.103,,,,,,,,,,,,,,,,,,,,,,,,
640,636,5.1,0.477,10.6,0.7,0.331,2.0,6.0,0.2,2.6,5.7,0.454,12.6,3.6,0.861,4.2,993,690.0,NBA,30.0,Sam Cassell,0.6,2.8,15.7,1.1,2.4,3.2,0.48,0.162,34.4,0.4,1.4,-1.6,9.9,21.5,0.33,3.0,2.4,66.0,19.5,1.9,14.4,6.2,0.544,25.7,25.4,87.5,0.141,384.0,108.0,0.366,295.0,289.0,4.4,18.0,440.0,0.478,920.0,223.0,0.734,304.0,66.0,2344.0,35.5,,218.0,1211.0,18.3,153.0,190.0,293.0,4.4
641,637,1.3,0.436,2.9,0.0,0.0,0.0,0.8,1.7,3.3,1.3,0.435,2.9,0.7,0.647,1.0,725,59.0,NBA,18.2,Harvey Catchings,1.7,2.8,3.2,0.4,1.1,5.0,0.435,0.001,5.6,5.1,-0.1,3.5,18.7,21.8,0.351,-3.6,10.5,-0.5,9.6,0.9,23.4,14.7,0.475,10.1,6.4,21.2,0.077,385.0,,,,,,,529.0,0.525,1007.0,213.0,0.634,336.0,76.0,,,,,1271.0,16.7,,,845.0,11.1
642,638,5.0,0.487,10.3,0.0,0.094,0.1,0.9,0.2,3.6,5.0,0.485,10.3,2.7,0.654,4.1,515,379.0,NBA,26.3,Terry Catledge,2.9,2.5,12.7,0.6,1.7,6.4,0.485,0.006,5.2,0.4,-2.3,-1.7,15.1,9.3,0.393,-0.6,11.6,11.6,14.1,1.0,12.5,13.3,0.523,21.2,-1.0,20.9,0.074,386.0,,,,,,56.0,721.0,0.556,1296.0,424.0,0.663,640.0,86.0,2981.0,34.7,,185.0,1866.0,21.7,94.0,184.0,932.0,10.8
643,639,0.2,0.222,1.0,,,,0.1,,,0.2,0.222,1.0,0.2,0.222,1.0,9,,NBA,4.4,Sid Catlett,,0.3,0.7,,,0.4,0.222,,3.0,,,,,0.0,1.0,,,-0.2,-1.4,,,5.0,0.231,,,-0.2,-0.197,,,,,,,,,,,,,,,,,,,,,,,,
