,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
834,.451,6.8,0.7,-1.0,-1.0,9.9,3.0,.172,Allen Crabbe,0.0,1.2,6.4,11.3,1.3,8.2,5.6,.577,15.1,1.3,9.4,.089
835,.383,19.5,0.5,-0.8,-2.3,7.4,18.0,.266,Jamal Crawford,1.5,1.4,40.8,15.3,1.6,11.8,4.4,.530,24.2,10.9,58.9,.078
836,.331,22.2,0.3,-2.1,-2.3,9.3,4.4,.208,Jordan Crawford,0.2,2.6,1.5,14.0,1.5,13.5,5.9,.501,25.8,-0.2,6.0,.043
837,.477,9.0,1.1,1.2,0.6,14.7,10.3,.266,Jae Crowder,0.6,3.4,10.9,13.8,2.2,8.9,9.0,.555,16.6,7.1,21.2,.117
838,.117,5.1,1.9,-1.1,0.9,14.1,12.2,.156,Dante Cunningham,-2.0,6.2,8.0,11.3,1.6,7.9,10.1,.504,13.7,2.8,20.3,.079
839,.358,9.3,0.3,-5.9,-1.8,9.3,0.5,.497,Jared Cunningham,-4.1,1.1,-0.3,6.8,1.8,13.2,5.2,.467,18.1,-0.6,0.2,.017
840,.466,15.4,0.3,0.7,-0.9,8.9,2.1,.165,Seth Curry,1.5,1.4,4.0,15.0,1.9,11.3,5.0,.600,19.0,1.9,6.1,.107
841,.453,32.4,0.4,6.3,-0.5,11.3,22.1,.229,Stephen Curry,6.8,2.3,61.0,23.3,2.5,14.6,6.9,.615,27.3,41.2,83.0,.202
842,.006,17.8,0.8,-2.2,1.1,7.9,3.1,.179,Mike D'Antoni,-3.2,2.2,-1.1,10.2,3.7,21.3,5.0,.444,10.5,-0.1,2.0,.036
843,.000,5.9,,,,,0.0,.750,Mike Dabich,,,0.2,12.0,,23.9,12.1,.627,15.9,,0.2,.173
844,,,,,,,0.0,.184,Ed Dahler,,,0.0,10.3,,,,.426,,,0.1,.036
845,.021,15.8,0.2,-2.9,-2.3,8.2,7.3,.313,Quintin Dailey,-0.6,3.8,5.3,15.1,1.9,12.2,6.0,.508,27.9,-2.7,12.7,.050
846,,,,,,,9.2,.289,Howie Dallmar,,,6.0,,,,,.341,,,15.1,
847,.003,5.4,4.2,0.2,1.7,20.1,29.5,.497,Erick Dampier,-1.5,12.8,23.2,14.3,0.7,17.4,16.5,.536,15.4,13.1,52.7,.105
848,.165,20.1,0.6,-0.9,-1.4,5.0,31.2,.228,Louie Dampier,0.5,1.4,42.9,15.2,1.4,12.2,3.6,.516,20.1,3.6,74.1,.110
849,.001,13.5,0.8,1.8,0.1,12.8,33.0,.254,Bob Dandridge,1.7,5.2,47.3,16.7,1.6,13.8,9.4,.524,23.1,17.8,80.3,.131
850,.226,23.8,0.3,-1.2,-1.7,8.2,10.9,.425,Antonio Daniels,0.5,1.3,36.1,14.6,1.5,13.3,4.8,.546,16.3,4.1,47.0,.115
851,.111,7.7,0.0,-7.9,-1.2,17.1,0.1,.000,Erik Daniels,-6.7,10.9,-0.1,4.6,1.4,25.0,14.0,.361,14.8,-0.1,-0.1,-0.061
852,.350,13.4,1.1,-1.9,-1.4,8.0,2.7,.150,Lloyd Daniels,-0.5,6.0,0.6,11.5,1.5,12.6,7.0,.482,20.8,0.1,3.3,.044
853,.112,13.2,0.9,-1.0,0.3,10.0,12.5,.237,Marquis Daniels,-1.3,5.0,4.0,12.9,2.2,12.9,7.5,.497,19.1,2.9,16.5,.068
854,.003,7.4,2.6,-1.5,1.0,26.2,41.2,.370,Mel Daniels,-2.5,10.8,23.7,20.1,1.1,14.2,19.3,.507,22.7,0.6,64.8,.139
855,.416,11.1,0.4,-0.8,-0.6,7.0,2.6,.296,Sasha Danilovic,-0.2,2.1,1.7,11.7,1.6,15.2,4.6,.562,20.0,0.7,4.2,.087
856,.003,13.0,0.2,3.1,-1.4,10.1,22.8,.552,Adrian Dantley,4.5,7.1,111.4,21.5,1.3,12.5,8.6,.617,26.1,44.0,134.2,.189
857,,,,,,,0.1,.500,Pete Darcey,,,-0.3,-5.7,,,,.250,,,-0.2,-0.107
858,,,,,,,-0.3,.329,Jimmy Darden,,,0.1,,,,,.379,,,-0.2,
859,.006,6.7,,,,,4.9,.319,Ollie Darden,,,2.8,13.4,,14.4,12.7,.479,19.2,,7.7,.077
860,.000,0.6,5.3,-9.8,-0.9,20.4,1.3,.493,Yinka Dare,-8.9,10.7,-2.0,6.2,0.6,26.7,15.4,.441,15.6,-2.0,-0.7,-0.033
861,,11.2,0.1,-6.0,-3.8,5.8,0.1,.255,Jesse Dark,-2.2,3.8,0.2,11.0,0.3,,4.8,.487,,-0.4,0.3,.034
862,.000,9.9,1.3,-5.0,1.0,20.9,0.1,.233,Rick Darnell,-6.0,9.5,-0.3,4.7,1.9,29.7,15.0,.393,14.7,-0.1,-0.1,-0.055
863,,,,,,,0.0,.467,Jimmy Darrow,,,-0.1,5.9,,,,.332,,,-0.1,-0.112
864,.002,15.5,1.2,2.6,1.1,22.3,27.1,.511,Brad Daugherty,1.4,7.0,38.1,18.9,1.1,14.6,14.8,.590,22.2,23.1,65.2,.156
865,.000,8.2,,,,,0.0,.500,Mack Daughtry,,,0.0,11.9,,0.0,5.3,.533,10.3,,0.1,.068
866,.009,7.7,1.1,-3.8,-0.8,14.8,1.4,.399,Kornel David,-3.1,7.9,1.1,12.5,1.6,14.8,11.2,.518,18.2,-0.7,2.5,.075
867,.000,5.5,3.1,-7.6,-1.7,17.0,0.4,.281,Jermareo Davidson,-5.9,8.1,-0.4,10.5,1.1,10.9,12.5,.451,21.0,-0.6,0.0,.000
868,,,,,,,14.3,.436,Bob Davies,,,35.4,18.0,,,,.456,,,49.7,.148
869,.003,6.4,2.5,-0.7,0.8,19.7,31.4,.515,Antonio Davis,-1.5,10.3,28.2,14.1,0.9,13.4,15.0,.518,17.6,8.8,59.6,.110
870,,,,,,,2.7,.302,Aubrey Davis,,,1.3,,,,,.332,,,3.9,
871,.348,36.3,0.9,2.7,-0.2,9.7,30.3,.275,Baron Davis,3.0,3.0,32.8,17.8,2.8,14.7,6.3,.502,24.6,34.1,63.1,.106
872,.000,7.8,0.9,-6.0,-3.0,17.0,0.2,.441,Ben Davis,-2.9,23.2,-0.1,12.5,2.0,9.0,20.0,.383,23.1,-0.2,0.1,.040
873,,,,,,,0.8,.281,Bill Davis,,,-0.6,,,,,.256,,,0.2,
874,,6.4,,,,,0.0,.214,Bob Davis,,,-0.3,-1.0,,,5.9,.261,,,-0.3,-0.396
875,.145,28.4,0.4,-1.1,-2.0,7.2,11.4,.344,Brad Davis,0.9,1.5,42.2,14.7,1.6,17.0,4.4,.587,15.1,5.1,53.6,.115
876,.024,9.1,0.7,-6.5,-1.8,10.4,0.2,.540,Brian Davis,-4.7,6.7,-0.2,9.2,2.2,10.9,8.6,.420,20.4,-0.4,0.0,.000
877,.052,9.1,0.9,-3.6,-1.0,13.9,6.3,.161,Charles Davis,-2.6,8.5,-0.5,11.6,1.2,12.7,11.2,.480,21.6,-2.0,5.8,.056
878,,17.1,0.0,-9.9,-3.8,10.4,1.1,.275,Charlie Davis,-6.0,2.2,0.3,11.9,1.0,,4.0,.463,,-0.2,1.4,.026
879,.001,5.2,3.1,1.8,1.9,20.6,41.4,.399,Dale Davis,-0.1,13.4,45.5,15.2,1.2,12.0,17.1,.546,14.0,28.6,86.9,.141
880,,9.1,1.4,-1.2,0.3,18.5,9.0,.347,Dwight Davis,-1.6,6.8,2.4,12.3,1.1,,12.6,.477,,1.1,11.4,.068
881,.434,15.4,0.5,-2.5,-0.6,10.4,2.7,.175,Emanual Davis,-1.8,2.3,-0.2,9.6,2.2,19.6,6.4,.501,15.6,-0.4,2.5,.031
882,.000,5.1,1.0,-5.4,-2.4,11.7,0.2,.273,Harry Davis,-2.9,7.1,0.1,10.3,1.5,12.3,9.3,.473,19.7,-0.4,0.3,.033
883,.359,12.6,0.2,-1.8,-2.0,6.2,8.2,.166,Hubert Davis,0.2,1.6,19.6,11.8,1.0,11.6,3.9,.566,16.7,0.7,27.7,.088
884,,9.7,1.7,0.1,1.4,19.8,9.0,.433,Jim Davis,-1.3,10.5,10.2,14.2,2.0,,14.4,.510,,1.1,19.2,.092
885,.023,22.6,0.3,-1.7,-2.0,4.8,13.4,.336,Johnny Davis,0.2,2.8,25.1,14.3,1.5,13.6,3.8,.512,21.0,1.4,38.5,.087
886,.467,6.0,0.8,-2.8,-1.3,15.2,0.6,.193,Josh Davis,-1.5,11.1,0.3,11.0,1.8,11.4,13.1,.479,16.4,-0.1,0.8,.082
887,.012,8.0,1.2,-1.1,-0.9,17.6,6.2,.255,Lee Davis,-0.2,9.4,6.5,15.0,0.9,10.8,13.4,.504,19.3,0.8,12.7,.078
888,.098,8.1,1.2,-1.0,-0.9,9.6,0.3,.333,Mark Davis,0.0,7.1,0.4,15.0,2.5,9.3,8.3,.543,20.7,0.1,0.7,.134
889,.106,12.9,1.5,-1.7,0.5,12.6,3.2,.409,Mark Davis,-2.2,8.7,-0.9,11.9,2.8,20.4,10.6,.499,18.7,0.3,2.3,.030
890,,9.4,0.5,-5.2,-1.2,24.1,3.2,.180,Mel Davis,-4.0,9.0,-2.9,12.0,1.2,,16.4,.407,,-2.1,0.3,.006
891,.002,10.5,0.3,-1.5,-0.9,14.6,4.3,.301,Mickey Davis,-0.6,7.7,4.5,13.9,1.3,19.1,11.1,.513,25.7,0.3,8.8,.110
892,.010,12.0,,,,3.6,2.7,.339,Mike Davis,,3.6,2.3,12.2,,12.2,5.1,.483,20.7,,5.0,.049
893,.000,0.0,8.8,-7.5,-2.7,29.7,0.1,1.000,Mike Davis,-4.7,12.4,0.1,21.1,0.0,0.0,20.9,.486,21.9,0.0,0.1,.235
894,.000,0.0,5.7,-22.3,-8.9,22.0,0.0,1.000,Monti Davis,-13.4,21.9,-0.1,4.5,0.0,0.0,22.5,.208,30.0,-0.1,-0.1,-0.311
895,.005,7.7,1.6,-4.7,-0.9,14.1,0.6,.256,Paul Davis,-3.8,12.2,-0.1,10.6,1.6,11.0,13.1,.445,17.9,-0.5,0.5,.035
896,,,,,,,1.0,.116,Ralph Davis,,,-0.6,9.3,,,,.427,,,0.4,.006
897,,,,,,,0.0,.333,Red Davis,,,-0.1,-3.3,,,,.145,,,-0.1,-0.288
898,.192,19.7,0.6,-0.8,-1.1,10.5,13.8,.279,Ricky Davis,0.2,3.0,14.2,14.7,1.7,14.5,6.8,.525,23.0,6.5,28.0,.061
899,.021,7.8,0.7,-5.0,-1.6,10.6,0.7,.473,Ron Davis,-3.4,6.6,-0.5,10.7,2.2,13.8,8.5,.461,22.0,-0.7,0.1,.007
900,.007,3.9,0.9,-3.6,-0.8,19.8,7.4,.425,Terry Davis,-2.9,11.2,4.8,10.9,0.9,14.6,15.3,.507,14.3,-4.2,12.1,.056
901,,,,,,,4.5,.272,Walt Davis,,,0.3,9.5,,,,.421,,,4.8,.043
902,.036,21.1,0.3,0.6,-1.6,8.2,27.4,.232,Walter Davis,2.2,3.3,49.5,19.1,2.0,12.7,5.8,.558,27.4,19.0,76.9,.128
903,.004,9.8,,,,18.4,11.3,.482,Warren Davis,,8.5,18.2,15.4,,17.4,14.1,.533,17.4,,29.5,.108
904,.000,9.4,,,,,0.0,.533,Willie Davis,,,0.0,16.4,,13.9,19.1,.486,26.1,,0.0,.078
905,.002,7.6,3.3,0.4,1.1,20.0,28.0,.427,Darryl Dawkins,-0.8,7.3,18.3,15.8,0.9,19.1,13.9,.605,20.6,10.3,46.4,.129
906,.105,29.3,0.1,-1.8,-1.9,7.6,7.2,.244,Johnny Dawkins,0.1,2.5,14.5,14.7,2.0,16.2,5.0,.522,19.2,0.7,21.8,.070
907,.017,14.8,0.7,-4.4,-1.6,12.0,0.4,.160,Paul Dawkins,-2.8,6.6,-0.5,11.0,2.1,19.1,9.4,.492,22.0,-0.5,-0.1,-0.009
908,.053,16.3,,,,,0.2,.323,Jimmy Dawson,,,-0.5,9.4,,9.5,3.3,.388,21.7,,-0.3,-0.043
909,.267,5.8,0.0,-9.1,-6.3,11.7,0.0,.067,Tony Dawson,-2.8,7.4,0.0,11.6,0.0,16.3,9.5,.551,26.7,-0.1,0.0,-0.009
910,.328,9.5,1.7,-1.1,-1.1,10.5,9.0,.344,Todd Day,0.0,5.3,8.5,14.1,2.2,11.0,7.8,.512,23.1,2.8,17.5,.069
911,.010,18.2,0.6,-0.8,0.0,11.1,5.9,.446,Darren Daye,-0.8,7.0,3.4,13.9,1.8,17.2,9.1,.538,20.2,1.6,9.3,.086
912,.091,15.4,0.0,-9.7,-3.8,9.4,0.0,.636,Greg Deane,-5.9,5.1,-0.1,4.5,0.0,17.6,7.3,.355,15.3,-0.1,-0.1,-0.070
913,.000,20.4,,,,,0.0,1.000,Billy DeAngelis,,,0.1,3.1,,36.7,6.2,.579,11.0,,0.1,.084
914,,11.0,0.8,1.7,1.6,24.2,47.7,.282,Dave DeBusschere,0.1,5.2,13.1,15.5,1.2,,14.3,.472,,2.5,60.8,.093
915,.001,5.5,2.3,-1.0,0.9,17.6,10.9,.422,Andrew DeClercq,-1.9,11.7,8.4,12.1,2.1,17.4,14.6,.538,14.3,2.4,19.3,.094
916,.003,4.3,,,,,1.1,.194,Donald Dee,,,-1.4,7.0,,14.6,12.8,.395,17.7,,-0.3,-0.015
917,,,,,,,1.6,.351,Archie Dees,,,3.2,15.1,,,,.469,,,4.8,.074
918,.329,22.7,0.4,-3.4,-3.1,7.3,2.3,.362,Terry Dehere,-0.3,2.2,4.9,12.7,1.5,16.8,4.7,.530,22.1,-2.6,7.3,.048
919,,,,,,,0.0,.400,Red Dehnert,,,0.1,,,,,.397,,,0.1,
