,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
559,.291,10.2,0.9,-2.3,-1.0,9.0,7.2,.194,Shannon Brown,-1.4,2.8,1.9,12.4,2.0,10.9,5.9,.503,21.4,-0.6,9.2,.060
560,.671,12.8,1.8,-1.2,1.2,16.8,0.4,.118,Nicolas Brussino,-2.4,5.9,0.0,9.8,1.8,13.5,11.1,.464,14.3,0.1,0.4,.052
561,.424,9.4,0.6,-1.4,-1.2,14.5,5.7,.185,Chase Budinger,-0.1,3.3,8.2,13.0,1.4,9.4,8.8,.534,18.3,1.2,13.9,.083
562,.580,6.2,0.5,-2.7,-0.4,13.7,1.4,.104,Reggie Bullock,-2.3,2.5,0.3,8.4,1.4,8.7,8.1,.489,12.8,-0.3,1.7,.055
563,.376,25.0,0.4,-2.6,-2.6,8.4,3.0,.132,Trey Burke,0.0,1.6,2.7,12.6,1.2,11.4,5.0,.477,23.0,-1.0,5.8,.042
564,.205,13.7,0.5,-2.1,-1.6,11.7,4.0,.405,Alec Burks,-0.5,3.6,5.7,13.9,1.5,12.4,7.6,.525,22.9,-0.1,9.7,.071
565,.202,12.3,0.6,0.2,-0.1,13.6,24.3,.278,Caron Butler,0.3,4.4,26.6,15.0,2.2,11.8,9.0,.523,21.7,15.9,50.9,.086
566,.226,16.0,1.1,3.9,1.1,11.4,16.6,.501,Jimmy Butler,2.8,4.9,31.0,19.2,2.3,9.3,8.2,.566,20.8,18.6,47.6,.181
567,.443,6.3,1.9,-2.1,-0.8,11.1,14.3,.140,Rasual Butler,-1.3,2.0,6.5,10.6,0.9,8.0,6.6,.505,17.7,-0.4,20.8,.058
568,.318,14.1,0.0,-4.7,-1.4,12.5,0.2,.216,Dwight Buycks,-3.3,2.5,-0.2,9.9,2.1,18.6,7.4,.493,19.8,-0.2,0.0,.008
569,.545,3.7,0.0,0.6,-1.1,15.2,0.1,.364,Derrick Byars,1.6,19.0,0.1,14.9,2.8,0.0,17.1,.392,15.7,0.0,0.1,.147
570,.122,30.5,0.4,-3.0,-2.5,8.1,3.3,.299,Will Bynum,-0.6,2.1,3.7,14.6,2.1,16.8,5.0,.510,23.8,-1.7,7.0,.051
571,.161,9.1,1.2,-5.2,-1.7,15.8,1.2,.369,Zarko Cabarkapa,-3.5,6.9,0.0,11.5,1.1,15.7,11.2,.502,21.8,-1.3,1.1,.035
572,,,,,,,5.2,.217,Barney Cable,,,1.3,10.6,,,,.449,,,6.5,.046
573,.003,7.3,0.9,-2.7,-0.8,14.7,7.5,.483,Jason Caffey,-1.9,10.2,6.0,12.5,1.2,16.7,12.4,.524,18.9,-1.6,13.5,.072
574,.004,5.0,1.6,0.9,1.5,21.7,36.9,.384,Michael Cage,-0.6,12.2,37.4,13.9,1.8,13.4,16.8,.549,12.3,21.9,74.4,.120
575,,,,,,,1.4,.372,Gerry Calabrese,,,0.6,9.4,,,,.411,,,1.9,.046
576,.009,2.9,1.6,-5.2,0.1,21.9,2.3,.405,Adrian Caldwell,-5.2,12.5,-1.2,8.7,1.7,24.0,17.2,.490,13.9,-1.3,1.1,.032
577,.016,12.9,,,,,4.9,.322,Jim Caldwell,,,0.8,13.2,,17.2,14.8,.462,15.4,,5.7,.089
578,.007,14.6,0.7,1.4,0.8,8.5,21.4,.310,Joe Caldwell,0.6,6.7,16.4,14.7,2.8,14.8,7.5,.489,21.7,3.0,37.8,.072
579,,,,,,,10.8,.456,Bill Calhoun,,,7.7,11.1,,,,.418,,,18.5,.057
580,.000,7.0,0.8,-2.1,0.4,12.2,8.1,.243,Corky Calhoun,-2.5,6.0,6.3,9.3,1.5,13.4,9.0,.501,13.0,-0.2,14.4,.064
581,.278,28.2,0.0,-11.3,-3.7,8.0,0.0,.167,Demetrius Calip,-7.6,1.9,-0.2,1.8,0.9,20.6,4.9,.285,18.3,-0.1,-0.2,-0.134
582,,,,,,,0.0,.414,Tom Callahan,,,-0.1,,,,,.248,,,-0.1,
583,.010,13.4,0.7,-6.8,-1.2,9.1,0.4,.411,Rick Calloway,-5.6,4.1,-0.8,6.6,1.6,18.4,6.5,.452,17.9,-0.8,-0.3,-0.025
584,,,,,,,-1.0,.229,Ernie Calverley,,,6.8,,,,,.338,,,5.8,
585,.029,23.3,0.1,-1.0,-2.0,6.2,16.0,.539,Mack Calvin,1.0,2.9,44.4,17.4,2.2,16.3,4.4,.552,23.3,2.6,60.4,.134
586,.013,10.4,0.4,-3.3,-2.0,10.6,0.0,.317,Dexter Cambridge,-1.3,9.9,0.4,12.1,1.3,15.1,10.2,.520,19.3,-0.3,0.4,.022
587,.011,10.1,6.1,2.9,4.6,27.9,54.9,.316,Marcus Camby,-1.7,10.5,26.7,17.8,1.8,12.9,19.2,.503,16.6,35.6,81.6,.137
588,.004,7.7,4.3,-0.3,1.5,18.6,37.9,.434,Elden Campbell,-1.9,8.3,25.0,15.9,1.4,11.5,13.5,.513,20.6,10.8,62.8,.117
589,.038,11.1,0.7,-1.7,-1.3,9.3,12.4,.284,Tony Campbell,-0.4,6.6,8.3,14.5,1.9,12.1,7.9,.509,25.2,1.2,20.7,.065
590,.036,18.0,0.6,-5.3,-2.3,4.3,5.3,.399,Larry Cannon,-3.1,4.2,1.8,14.8,0.9,14.1,4.4,.482,25.3,-0.3,7.1,.055
591,.000,5.1,3.5,-4.9,-0.3,12.2,0.3,.348,Derrick Caracter,-4.5,10.3,0.0,10.0,1.0,20.0,11.3,.532,20.2,-0.2,0.3,.057
592,.007,7.2,,,,12.0,6.5,.430,Frank Card,,8.5,4.7,12.3,,16.1,11.2,.502,18.0,,11.1,.077
593,.401,11.4,0.8,0.7,0.7,13.7,7.5,.383,Brian Cardinal,0.1,5.1,8.0,12.7,2.4,14.8,9.4,.554,15.9,4.5,15.4,.114
594,,,,,,,0.2,.254,Howie Carl,,,-0.7,9.4,,,,.380,,,-0.5,-0.061
595,,,,,,,1.3,.247,Chet Carlisle,,,0.3,,,,,.310,,,1.6,
596,.000,10.3,0.0,-4.2,-5.5,0.0,0.0,2.000,Geno Carlisle,1.3,7.5,0.1,18.1,0.0,15.1,3.6,.709,19.1,0.0,0.1,.173
597,.114,17.4,0.4,-5.2,-1.3,7.0,1.5,.168,Rick Carlisle,-3.9,3.5,-1.0,7.0,1.4,20.9,5.4,.466,16.2,-1.2,0.5,.015
598,.006,14.7,,,,,1.4,.560,Don Carlos,,,1.3,11.9,,18.2,7.7,.499,18.2,,2.7,.086
599,,5.8,2.1,-5.3,-0.3,16.3,0.3,.367,Al Carlson,-5.0,10.8,-0.2,9.0,1.1,,13.5,.392,,-0.2,0.1,.012
600,,,,,,,6.5,.221,Don Carlson,,,4.8,,,,,.364,,,11.3,
601,,,,,,,0.3,.625,Bob Carney,,,0.0,8.7,,,,.423,,,0.3,.059
602,.370,4.6,1.7,-2.7,-1.4,11.0,3.7,.203,Rodney Carney,-1.3,4.2,2.5,11.9,1.8,8.3,7.5,.510,18.7,-0.8,6.2,.064
603,,,,,,,4.1,.403,Bob Carpenter,,,2.8,,,,,.418,,,6.9,
604,.006,8.7,3.1,-0.6,0.2,12.8,20.3,.324,Antoine Carr,-0.8,6.7,21.8,14.2,0.9,12.5,9.8,.551,20.9,7.0,42.1,.102
605,.001,14.5,0.2,-1.0,-1.9,5.5,11.1,.225,Austin Carr,1.0,4.8,21.8,15.0,1.3,11.7,5.2,.491,22.1,4.0,32.9,.080
606,.268,11.6,0.8,-4.1,-2.5,12.5,2.6,.261,Chris Carr,-1.6,4.5,1.3,11.9,1.1,13.7,8.4,.509,22.6,-2.4,3.9,.042
607,.139,20.2,0.9,-8.8,-2.0,8.2,0.4,.148,Cory Carr,-6.8,1.4,-1.6,5.1,1.8,16.7,4.6,.372,20.8,-1.1,-1.2,-0.089
608,.006,7.3,1.0,-1.1,-0.2,23.0,19.3,.413,Kenny Carr,-0.9,9.6,14.3,14.7,1.3,16.9,16.2,.551,19.8,4.0,33.6,.094
609,.027,10.7,0.9,1.3,1.3,12.5,19.8,.307,M.L. Carr,0.0,7.0,13.7,14.0,2.6,15.9,9.8,.519,18.4,13.6,33.5,.098
610,.180,10.6,,,,6.4,9.7,.345,Darel Carrier,,1.5,20.8,15.6,,11.8,4.2,.519,22.9,,30.6,.119
611,.003,9.1,0.7,-3.1,-0.8,6.3,1.1,.286,Bob Carrington,-2.2,4.0,0.2,9.4,1.7,14.9,5.1,.477,17.3,-0.5,1.3,.036
612,.001,8.3,2.8,-0.7,0.3,18.2,23.2,.305,Joe Barry Carroll,-1.0,7.8,12.4,16.4,1.4,14.1,12.9,.519,24.3,7.5,35.6,.075
613,.359,6.9,0.6,-2.8,-1.7,11.3,4.9,.290,Matt Carroll,-1.1,2.2,5.9,11.6,1.5,9.5,6.6,.535,18.7,-1.6,10.7,.068
614,.000,0.0,7.1,-6.9,-0.4,23.2,0.0,.333,Jimmy Carruth,-6.5,0.0,0.0,9.7,0.0,22.5,11.7,.727,9.8,0.0,0.0,.090
615,.152,29.9,0.7,-2.7,0.2,9.8,15.0,.201,Anthony Carter,-2.9,2.4,-4.6,10.8,2.6,22.4,6.2,.454,16.1,-2.2,10.4,.041
616,.065,14.3,0.4,-2.5,-1.6,5.1,4.8,.235,Butch Carter,-0.9,3.7,3.7,12.7,2.2,13.8,4.4,.523,20.8,-0.8,8.5,.060
617,,17.6,0.3,-1.0,-1.4,7.9,12.9,.225,Fred Carter,0.4,3.1,1.9,14.0,1.6,,6.0,.458,,2.6,14.8,.039
618,.022,8.5,0.4,-1.3,-1.4,11.6,6.7,.349,George Carter,0.1,6.9,17.6,15.1,1.3,12.5,9.6,.512,22.9,1.0,24.3,.072
619,.065,12.7,0.3,-5.6,-3.3,7.2,0.1,.183,Howard Carter,-2.3,5.3,-0.2,10.3,1.2,12.0,6.2,.479,21.0,-0.7,0.0,-0.002
620,,,,,,,0.4,.707,Jake Carter,,,0.3,,,,,.417,,,0.7,
621,.314,5.8,0.0,-10.0,-4.6,9.5,0.0,.571,Maurice Carter,-5.4,2.0,-0.1,5.8,0.0,17.0,5.7,.479,21.7,-0.2,0.0,-0.014
622,.007,18.5,0.3,-4.6,-1.2,8.0,1.1,.325,Reggie Carter,-3.4,5.0,-0.6,9.1,1.9,18.1,6.4,.449,18.0,-0.9,0.4,.014
623,.000,9.5,1.1,-5.9,-1.3,8.8,0.4,.379,Ron Carter,-4.7,6.5,-0.6,8.0,1.9,21.0,7.6,.468,21.1,-0.4,-0.2,-0.017
624,.000,7.1,1.5,-0.5,-0.2,18.1,29.4,.498,Bill Cartwright,-0.3,7.6,43.5,15.2,0.8,14.9,12.8,.588,19.2,10.7,72.8,.127
625,,7.9,,,,,0.2,.124,Jay Carty,,,-0.3,10.1,,,,.405,,,-0.1,-0.017
626,,2.6,1.1,-7.6,-3.6,16.9,0.0,.261,Cornelius Cash,-4.0,16.9,-0.1,12.0,1.8,,16.9,.410,,-0.1,0.0,-0.010
627,.000,0.0,3.1,,,15.3,0.0,.944,Sam Cash,,20.0,-0.1,3.2,4.4,38.6,17.7,.392,30.9,,-0.1,-0.103
628,.162,34.4,0.4,1.4,-1.6,9.9,21.5,.330,Sam Cassell,3.0,2.4,66.0,19.5,1.9,14.4,6.2,.544,25.7,25.4,87.5,.141
629,.001,5.6,5.1,-0.1,3.5,18.7,21.8,.351,Harvey Catchings,-3.6,10.5,-0.5,9.6,0.9,23.4,14.7,.475,10.1,6.4,21.2,.077
630,.006,5.2,0.4,-2.3,-1.7,15.1,9.3,.393,Terry Catledge,-0.6,11.6,11.6,14.1,1.0,12.5,13.3,.523,21.2,-1.0,20.9,.074
631,,3.0,,,,,0.0,1.000,Sid Catlett,,,-0.2,-1.4,,,5.0,.231,,,-0.2,-0.197
632,.006,3.7,4.6,-0.3,2.0,21.1,16.4,.500,Kelvin Cato,-2.3,9.8,12.2,14.4,1.5,14.2,15.6,.548,13.5,4.6,28.6,.129
633,.032,2.8,0.0,-8.5,-4.3,14.8,0.3,.390,Bobby Cattage,-4.2,7.7,0.0,10.2,1.2,10.8,11.2,.474,21.9,-0.9,0.3,.027
634,.003,3.8,5.4,-1.3,2.1,17.8,12.2,.469,Duane Causwell,-3.5,9.4,3.6,11.7,1.2,17.0,13.6,.541,13.6,1.6,15.8,.081
635,.000,3.4,4.0,-4.5,2.4,20.5,0.8,.494,Ron Cavenall,-6.9,8.9,-1.0,4.2,0.9,30.3,14.6,.388,9.6,-0.4,-0.2,-0.017
636,.111,8.3,0.8,-0.4,-1.7,15.1,14.1,.317,Cedric Ceballos,1.3,9.7,26.3,19.3,1.5,11.3,12.4,.559,25.9,6.0,40.4,.132
637,.200,15.2,0.0,-7.4,-0.8,5.7,0.2,.133,John Celestand,-6.6,0.6,-0.4,2.7,1.9,25.1,3.2,.388,15.1,-0.3,-0.1,-0.038
638,,,,,,,5.9,.825,Al Cervi,,,16.0,21.0,,,,.517,,,21.9,.308
639,.392,18.6,0.0,-6.3,-2.7,7.3,0.2,.192,Lionel Chalmers,-3.6,1.1,-0.5,6.5,1.6,15.0,4.3,.409,17.0,-0.5,-0.2,-0.025
640,.019,14.5,1.7,-0.1,-0.1,9.9,1.4,.279,Bill Chamberlain,0.0,8.9,-0.9,10.6,2.4,15.8,9.4,.449,21.4,0.2,0.5,.025
641,,15.8,,,,,93.9,.505,Wilt Chamberlain,,,153.3,26.1,,,19.4,.547,,,247.3,.248
642,.004,7.6,0.3,-1.9,-0.8,12.4,3.3,.222,Jerry Chambers,-1.1,8.0,1.9,13.2,1.0,9.9,9.7,.479,22.5,0.0,5.2,.049
643,.047,10.1,1.1,-0.5,-0.8,15.7,32.3,.398,Tom Chambers,0.3,6.5,46.7,16.5,1.2,12.1,11.2,.542,25.4,13.2,79.0,.112
644,.333,0.0,0.0,-40.8,-9.6,0.0,0.0,.000,Mike Champion,-31.3,0.0,-0.1,-43.7,0.0,25.0,0.0,.000,39.8,0.0,-0.1,-0.952
645,.002,11.8,1.1,-0.3,1.3,8.3,24.9,.261,Don Chaney,-1.6,7.1,11.4,11.6,2.3,16.4,7.9,.482,16.9,4.6,36.3,.092
646,,,,,,,0.1,.337,John Chaney,,,-0.2,,,,,.354,,,-0.1,
647,.266,14.9,0.4,-1.5,-2.1,7.5,9.8,.216,Rex Chapman,0.5,2.2,15.0,13.9,1.5,9.8,4.8,.514,23.3,2.2,24.7,.061
648,.076,13.1,,,,3.5,3.4,.306,Wayne Chapman,,2.5,-2.3,8.8,,15.3,6.7,.439,21.1,,1.1,.016
649,.000,6.2,,,,12.5,8.3,.356,Len Chappell,,10.4,13.6,15.6,,9.6,11.8,.498,19.5,,21.9,.088
650,,14.6,0.9,-1.7,-0.1,5.9,6.0,.299,Ken Charles,-1.6,2.7,3.7,11.9,2.4,15.2,4.4,.494,18.8,0.6,9.8,.061
651,.000,4.2,1.3,-3.6,-1.6,10.5,0.2,.409,Lorenzo Charles,-1.9,5.3,0.3,11.5,0.4,14.8,7.9,.587,18.2,-0.1,0.5,.086
652,.095,10.3,0.7,-2.1,-0.5,10.0,13.9,.178,Calbert Cheaney,-1.6,3.8,9.3,11.0,1.6,11.3,6.8,.502,17.8,-0.7,23.1,.050
653,.022,29.2,0.5,1.9,0.5,7.4,42.6,.313,Maurice Cheeks,1.4,2.3,60.9,16.5,3.2,17.5,4.9,.572,15.2,33.9,103.5,.143
654,.002,13.5,0.9,0.6,0.2,8.2,22.6,.226,Phil Chenier,0.4,2.7,16.7,15.3,2.2,12.5,5.3,.487,21.3,9.3,39.3,.099
655,.037,7.2,0.4,-4.0,-1.4,9.8,2.5,.412,Derrick Chievous,-2.6,7.8,0.2,11.8,1.6,15.0,8.8,.511,22.7,-1.1,2.7,.057
656,.209,8.9,1.7,-1.9,0.0,17.1,6.8,.132,Pete Chilcutt,-1.8,8.9,3.8,11.9,1.6,13.5,13.0,.498,15.1,0.3,10.6,.060
657,.555,18.1,0.2,-6.4,-1.6,6.5,0.5,.294,Randolph Childress,-4.8,0.6,-0.7,5.9,2.2,25.5,3.6,.461,19.9,-0.4,-0.2,-0.026
658,.339,30.9,0.3,-1.4,-0.5,9.5,16.0,.292,Chris Childs,-1.0,1.7,6.9,11.2,1.9,22.8,5.6,.514,15.7,1.9,22.9,.081
659,,,,,,,0.9,.326,Leroy Chollet,,,-0.7,,,,,.344,,,0.2,
660,.001,7.6,2.0,-0.6,0.6,20.9,27.1,.234,Jim Chones,-1.1,7.7,18.7,13.9,0.9,15.7,14.3,.506,18.4,7.6,45.8,.093
661,,,,,,,0.0,.611,Fred Christ,,,0.0,16.7,,,,.438,,,0.1,.085
662,,,,,,,8.0,.600,Cal Christensen,,,0.2,11.8,,,,.405,,,8.2,.060
663,.000,8.5,1.3,-2.3,-0.3,20.5,2.3,.497,Bob Christian,-2.0,7.0,3.3,12.3,0.7,50.0,16.1,.542,20.4,-0.1,5.7,.090
664,.299,17.7,1.1,1.9,1.1,11.1,29.1,.324,Doug Christie,0.8,3.4,26.6,14.6,3.1,16.5,7.2,.535,17.6,25.4,55.7,.102
665,.022,22.7,,,,,3.8,.574,Stephen Chubin,,,8.8,14.7,,20.7,6.8,.508,23.4,,12.6,.108
666,.000,8.0,0.0,-14.9,-3.7,17.4,0.0,.000,Robert Churchwell,-11.2,0.0,-0.1,1.2,0.0,20.0,8.6,.375,21.8,-0.1,-0.1,-0.166
667,,20.6,0.1,-0.3,-1.0,6.7,20.5,.323,Archie Clark,0.6,2.2,44.1,16.4,1.8,,4.5,.529,,2.5,64.7,.132
668,.034,11.7,0.2,-2.8,0.2,7.7,0.9,.348,Carlos Clark,-3.0,6.1,-0.3,9.5,3.0,18.7,6.9,.474,17.1,-0.1,0.6,.044
669,.008,6.6,5.0,-0.1,2.1,20.2,11.7,.344,Keon Clark,-2.2,9.1,6.6,15.4,1.2,14.8,14.6,.531,17.8,3.8,18.2,.110
670,.048,11.8,,,,,1.5,.546,Richard Clark,,,-1.6,4.3,,18.7,5.3,.388,17.9,,-0.1,-0.006
671,.000,5.8,,,,,0.8,.175,John Clawson,,,0.6,7.0,,18.0,8.1,.497,13.0,,1.3,.060
672,.000,0.0,10.0,-11.1,-2.6,0.0,0.0,1.000,Charles Claxton,-8.5,31.2,0.0,0.2,0.0,25.8,16.0,.347,23.9,0.0,0.0,-0.179
673,.079,28.5,0.3,-0.7,0.0,8.7,9.5,.382,Speedy Claxton,-0.7,2.6,4.7,14.5,3.1,15.3,5.6,.481,20.4,2.8,14.2,.080
674,.006,19.6,0.4,0.1,0.1,8.3,12.7,.247,Jim Cleamons,0.0,3.8,16.4,12.6,1.6,17.4,6.0,.501,13.1,8.0,29.1,.082
675,.075,26.6,0.2,-6.3,-1.8,8.4,1.4,.301,Mateen Cleaves,-4.5,1.9,-2.2,8.5,1.8,22.9,5.1,.449,20.6,-2.0,-0.8,-0.021
676,,10.2,0.3,-1.9,-0.3,13.3,10.9,.209,Barry Clemens,-1.6,4.6,7.7,12.4,2.6,,9.0,.488,,0.0,18.6,.071
677,,,,,,,15.9,.351,Nat Clifton,,,-0.8,14.2,,,,.409,,,15.0,.052
678,,,,,,,8.9,.333,Bill Closs,,,-1.8,10.4,,,,.379,,,7.1,-0.001
679,.009,4.4,6.7,-3.1,0.7,16.8,1.0,.386,Keith Closs,-3.9,8.9,0.8,14.2,0.9,13.5,12.8,.502,15.6,-0.5,1.9,.055
680,,,,,,,0.0,.308,Paul Cloyd,,,-0.1,,,,,.322,,,-0.1,
681,,,,,,,1.1,.256,Bob Cluggish,,,-0.1,,,,,.300,,,1.1,
682,,4.5,1.0,-5.9,-2.1,16.3,0.2,.125,Ben Clyde,-3.7,9.6,0.0,11.3,1.4,,13.0,.454,,-0.2,0.2,.066
683,.013,1.3,0.8,-7.3,-3.1,14.4,0.1,.293,Richard Coffey,-4.2,14.3,0.1,7.9,1.0,5.6,14.3,.402,12.1,-0.4,0.2,.037
684,.082,26.2,0.4,-5.9,-0.7,10.5,0.6,.103,Fred Cofield,-5.2,1.5,-1.1,7.7,2.2,19.7,5.8,.415,21.4,-0.5,-0.5,-0.044
685,.000,3.7,1.6,-9.0,-4.0,14.3,0.1,.136,John Coker,-5.0,9.4,0.0,8.9,0.7,7.9,11.8,.440,16.2,-0.3,0.1,.031
686,.004,5.3,1.6,-3.2,-0.7,19.8,3.4,.383,Ben Coleman,-2.5,9.5,1.7,12.3,1.3,18.6,14.6,.566,18.7,-1.1,5.0,.067
687,.107,13.0,2.7,1.3,1.2,22.2,35.8,.419,Derrick Coleman,0.1,8.7,28.4,18.0,1.2,14.3,15.4,.526,23.8,21.7,64.3,.119
688,,6.8,0.8,-1.6,1.1,16.2,9.8,.209,E.C. Coleman,-2.7,7.1,3.0,10.0,1.5,16.6,11.6,.492,12.2,1.0,12.8,.066
689,,,,,,,25.4,.233,Jack Coleman,,,22.3,15.7,,,,.451,,,47.7,.107
690,.010,4.6,0.8,-8.3,-2.0,11.5,0.4,.188,Norris Coleman,-6.3,8.6,-0.8,6.6,1.2,7.2,10.0,.370,21.0,-0.7,-0.4,-0.046
691,.157,25.4,0.5,-2.1,-1.2,7.6,12.4,.263,Bimbo Coles,-0.9,2.6,14.9,12.1,1.9,15.9,5.1,.496,17.1,-0.7,27.4,.065
692,.027,4.1,1.1,-6.3,-3.1,14.4,0.8,.288,Jason Collier,-3.2,9.1,1.1,11.7,0.9,12.5,11.7,.502,19.9,-2.3,1.9,.042
693,.020,8.6,0.2,-6.3,-1.2,6.5,0.2,.364,Art Collins,-5.1,5.4,-0.6,4.3,1.3,21.8,6.0,.409,15.4,-0.4,-0.4,-0.054
694,.011,13.7,0.9,0.4,0.6,7.4,8.0,.268,Don Collins,-0.2,7.6,2.5,14.5,2.6,16.1,7.5,.524,22.7,3.7,10.5,.082
695,.000,14.6,0.4,0.4,-1.2,6.2,10.7,.323,Doug Collins,1.6,3.4,27.3,16.1,1.7,14.8,4.8,.557,22.4,8.5,38.0,.131
696,.364,5.4,1.9,-5.2,-4.2,7.8,0.0,.255,James Collins,-1.1,7.7,0.0,15.3,3.0,11.6,7.7,.482,29.8,-0.1,0.0,.008
697,.003,7.6,0.9,-1.8,-0.4,13.4,5.4,.697,Jarron Collins,-1.4,9.1,10.3,9.4,0.9,14.6,11.2,.534,12.3,0.5,15.7,.088
698,.015,6.4,1.9,-2.0,2.0,14.1,19.4,.538,Jason Collins,-4.0,7.1,0.7,7.0,1.3,18.0,10.6,.474,10.4,0.2,20.1,.064
699,,16.7,,,,,0.7,.196,Jimmy Collins,,,-0.1,12.2,,,5.1,.454,,,0.6,.044
700,.163,18.5,0.6,-4.9,-0.6,10.4,1.7,.240,Mardy Collins,-4.3,3.8,-3.2,7.9,2.1,19.1,7.0,.431,17.4,-2.0,-1.6,-0.027
701,.400,19.6,0.0,-10.2,-3.3,9.2,0.0,.040,Sherron Collins,-6.9,0.0,-0.2,3.6,1.6,13.6,4.6,.334,20.9,-0.1,-0.2,-0.121
702,,,,,,,0.3,.168,Joe Colone,,,-0.2,,,,,.342,,,0.1,
703,.208,38.7,0.0,-6.3,-3.3,10.2,0.0,.167,Sean Colson,-3.0,5.4,-0.1,6.8,1.2,7.2,7.7,.291,28.8,0.0,-0.1,-0.106
704,.091,21.2,0.5,-1.2,-0.4,8.9,8.9,.290,Steve Colter,-0.8,3.4,8.4,12.9,2.3,14.1,6.2,.509,16.3,2.0,17.3,.087
705,.224,14.6,0.3,-2.8,-3.1,4.7,8.9,.375,Glen Combs,0.3,1.9,25.5,14.2,1.2,13.9,3.7,.537,20.4,-0.4,34.3,.108
706,.018,12.4,2.3,-3.3,-0.1,9.1,0.6,.558,Leroy Combs,-3.3,4.7,-0.2,13.5,2.4,18.5,6.9,.537,23.0,-0.1,0.4,.041
707,.000,8.2,,,,,0.2,.508,John Comeaux,,,0.2,10.3,,16.3,6.4,.499,17.9,,0.4,.111
708,.004,6.2,3.6,-3.8,0.7,15.0,2.5,.442,Dallas Comegys,-4.4,8.0,-1.3,10.7,1.6,19.3,11.4,.509,18.9,-1.0,1.1,.024
709,,,,,,,0.1,.432,Larry Comley,,,-0.4,5.6,,,,.284,,,-0.3,-0.167
710,.176,20.5,,,,7.0,7.6,.225,Jeffrey Congdon,,3.1,-1.3,8.6,,20.6,4.3,.447,16.7,,6.3,.048
711,,,,,,,8.8,.273,Gene Conley,,,-3.8,10.2,,,,.412,,,5.1,.042
712,.000,0.0,,,,,0.0,.000,Larry Conley,,,0.0,-11.4,,42.9,0.0,.250,14.7,,0.0,-0.111
713,,,,,,,11.9,.309,Ed Conlin,,,2.3,13.0,,,,.427,,,14.2,.060
714,.039,9.6,0.8,-2.7,-1.2,15.6,3.4,.354,Marty Conlon,-1.5,8.9,5.5,13.2,1.2,15.5,12.2,.547,18.4,-1.0,8.9,.068
715,.035,21.3,1.1,-2.5,-0.5,6.3,0.2,.337,Jimmy Conner,-2.0,4.9,0.0,12.2,2.1,24.5,5.6,.537,20.8,0.0,0.3,.053
716,.030,23.9,0.3,0.8,1.1,9.5,14.7,.381,Lester Conner,-0.3,4.4,13.9,14.1,3.5,17.8,6.8,.513,13.8,10.5,28.6,.092
717,,,,,,,0.7,.221,Chuck Connors,,,-1.0,,,,,.277,,,-0.3,
718,.273,20.7,0.0,-12.8,-3.3,7.7,0.0,.364,Will Conroy,-9.5,4.4,-0.4,-3.1,0.0,19.0,6.0,.137,13.1,-0.3,-0.4,-0.174
719,.016,2.8,3.4,-4.2,0.0,18.5,0.9,.434,Anthony Cook,-4.2,10.4,0.2,11.0,1.2,12.8,14.1,.464,12.8,-0.8,1.0,.033
720,,,,,,,0.3,.376,Bert Cook,,,-0.4,8.5,,,,.381,,,0.0,-0.006
721,,,,,,,-0.3,.292,Bobby Cook,,,2.1,,,,,.420,,,1.9,
722,.329,7.5,1.8,-2.4,-1.3,16.4,5.3,.135,Brian Cook,-1.1,6.3,4.8,13.1,1.2,10.2,11.4,.524,19.7,-0.6,10.2,.086
723,.599,6.6,0.6,-3.6,-2.2,12.2,4.3,.093,Daequan Cook,-1.4,1.5,0.6,9.1,1.1,7.6,6.9,.494,18.0,-2.4,4.9,.039
724,.051,22.1,0.8,-0.1,0.7,7.1,19.7,.193,Darwin Cook,-0.9,3.3,3.3,13.8,3.4,15.9,5.2,.490,19.8,6.6,22.9,.078
725,.008,9.5,1.3,-0.3,1.5,16.9,12.8,.334,Jeff Cook,-1.8,9.9,4.9,10.9,1.5,17.4,13.4,.507,13.6,4.2,17.7,.088
726,,5.8,1.0,-6.5,-1.2,12.5,0.2,.227,Norm Cook,-5.3,7.4,-0.3,9.8,3.0,0.0,10.0,.394,11.5,-0.2,-0.1,-0.018
727,.098,33.6,0.3,-6.1,-1.4,4.4,0.2,.118,Omar Cook,-4.7,2.7,-0.3,9.0,4.1,23.0,3.5,.345,15.2,-0.2,-0.1,-0.021
728,.000,3.1,0.0,-5.6,0.4,14.8,0.1,.909,David Cooke,-6.0,15.0,-0.1,6.7,5.0,11.5,14.9,.292,18.5,0.0,0.0,-0.043
729,,19.6,,,,,0.2,.173,Joe Cooke,,,-0.6,10.4,,,7.6,.431,,,-0.4,-0.025
730,,,,,,,9.0,.420,Chuck Cooper,,,2.5,11.0,,,,.418,,,11.6,.050
731,.186,30.9,0.2,-8.6,-3.6,6.5,0.3,.251,Duane Cooper,-5.0,2.2,-0.9,7.7,1.3,28.7,4.3,.462,16.9,-1.3,-0.5,-0.032
732,.000,6.3,3.1,-2.0,0.6,15.8,0.3,.393,Joe Cooper,-2.7,12.7,0.0,10.5,1.3,24.0,14.2,.522,14.0,0.0,0.3,.037
